0, 0, 0
-0.0175714, -0.0103725, 0.40675
-0.0160427, -0.013869, 0.609
-0.0257797, -0.0170575, 0.81125
-0.0348396, -0.023158, 1.014
-0.0353174, -0.0282747, 1.2165
-0.0378666, -0.0300623, 1.41925
-0.0405254, -0.0348962, 1.6225
-0.0378132, -0.0370533, 1.8255
-0.0428228, -0.0355601, 2.02725
-0.0374184, -0.0313992, 2.23791
-0.0231886, -0.0243198, 2.43991
-0.0155535, -0.0175623, 2.64241
-0.00569534, -0.00760122, 2.84491
0.00667, 0.000984423, 3.04816
0.0183086, 0.0111853, 3.25091
0.0264931, 0.0201816, 3.45391
0.0244751, 0.0255403, 3.65666
0.0163164, 0.0241874, 3.85916
0.00576401, 0.017659, 4.06166
-0.010066, 0.00674971, 4.26466
-0.0311489, -0.0106243, 4.46766
-0.0542421, -0.0281415, 4.67041
-0.0788813, -0.0506362, 4.87291
-0.106637, -0.0744103, 5.07516
-0.14564, -0.114341, 5.27766
-0.181899, -0.141966, 5.48016
-0.228009, -0.177695, 5.68291
-0.268439, -0.209174, 5.88716
-0.311382, -0.253028, 6.09041
-0.359027, -0.289233, 6.29391
-0.392485, -0.324239, 6.49716
-0.427401, -0.354227, 6.70016
-0.46545, -0.391297, 6.90291
-0.497201, -0.41911, 7.10591
-0.530111, -0.446047, 7.30891
-0.561279, -0.482842, 7.51191
-0.601758, -0.512297, 7.71466
-0.640591, -0.54711, 7.91816
-0.682762, -0.581132, 8.12141
-0.737546, -0.625232, 8.32466
-0.795706, -0.674026, 8.52766
-0.862467, -0.728141, 8.73116
-0.932222, -0.800812, 8.93366
-1.00403, -0.854878, 9.13616
-1.06804, -0.92055, 9.33916
-1.13711, -0.982401, 9.54291
-1.1997, -1.04311, 9.74616
-1.25091, -1.09571, 9.94916
-1.30572, -1.15646, 10.1522
-1.35588, -1.21189, 10.3552
-1.40509, -1.2477, 10.5577
-1.44755, -1.29221, 10.7602
-1.48818, -1.33183, 10.9634
-1.52631, -1.36606, 11.1669
-1.56332, -1.40192, 11.3699
-1.59721, -1.43465, 11.5724
-1.6318, -1.4684, 11.7749
